resume_id,name,education,major,resume_city,job_id,job_title,company,job_city,total_score,tfidf_score,word2vec_score,semantic_score,skill_score,education_score,experience_score,city_score,certificate_score,salary_score,matched_skills,missing_skills,matched_certificates,reason
R001,张同学,本科,数据科学与大数据技术,南昌,J001,数据分析实习生,江西云数科技,南昌,91.49,57.95,99.33999633789062,76.58,100.0,100.0,100.0,100.0,100.0,100.0,python;sql;excel;数据分析;可视化,,英语四级,"共同技能包括 python, sql, excel, 数据分析, 可视化；岗位要求技能基本覆盖；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度较高。"
R001,张同学,本科,数据科学与大数据技术,南昌,J010,商业数据分析师,南昌智选咨询,南昌,77.65,29.31,99.23999786376953,60.78,80.0,100.0,75.0,100.0,100.0,100.0,python;sql;数据分析;可视化,统计分析,英语四级,"共同技能包括 python, sql, 数据分析, 可视化；缺少 统计分析，建议补充相关练习或项目经验；学历满足岗位要求；经验年限略低于岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R001,张同学,本科,数据科学与大数据技术,南昌,J007,BI 可视化分析师,星海零售集团,上海,72.48,29.95,97.94999694824219,60.55,60.0,100.0,100.0,60.0,100.0,100.0,sql;excel;可视化,tableau;统计分析,英语四级,"共同技能包括 sql, excel, 可视化；缺少 tableau, 统计分析，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R001,张同学,本科,数据科学与大数据技术,南昌,J005,数据产品运营实习生,赣江互联网,南昌,71.66,17.88,95.19999694824219,52.67,60.0,100.0,100.0,100.0,100.0,100.0,sql;excel;数据分析,产品分析;用户研究,英语四级,"共同技能包括 sql, excel, 数据分析；缺少 产品分析, 用户研究，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R001,张同学,本科,数据科学与大数据技术,南昌,J006,数据采集与清洗工程师,岭南数据服务,广州,62.59,22.66,95.75,55.55,40.0,100.0,75.0,60.0,100.0,100.0,python;sql,爬虫;数据清洗;linux,英语四级,"共同技能包括 python, sql；缺少 爬虫, 数据清洗, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验年限略低于岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R001,张同学,本科,数据科学与大数据技术,南昌,J002,大数据开发实习生,华东智算中心,杭州,60.4,11.96,91.16999816894531,47.6,33.33,100.0,100.0,60.0,100.0,100.0,python;sql,spark;hadoop;hive;linux,英语四级,"共同技能包括 python, sql；缺少 spark, hadoop, hive, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R001,张同学,本科,数据科学与大数据技术,南昌,J009,数据仓库开发实习生,湘江云计算,长沙,54.82,8.51,89.69000244140625,45.04,16.67,100.0,100.0,60.0,100.0,100.0,sql,hive;spark;hadoop;数据仓库;linux,英语四级,"共同技能包括 sql；缺少 hive, spark, hadoop, 数据仓库, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R001,张同学,本科,数据科学与大数据技术,南昌,J004,Java 后端开发工程师,鹏城软件,深圳,44.98,8.06,72.45999908447266,37.04,0.0,100.0,75.0,60.0,100.0,100.0,,java;springboot;mysql;redis;linux,计算机二级,"岗位核心技能重合较少；缺少 java, springboot, mysql, redis, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验年限略低于岗位要求；期望城市与岗位城市不一致；证书匹配 计算机二级；文本语义相似度偏低。"
R001,张同学,本科,数据科学与大数据技术,南昌,J003,机器学习算法助理,杭城智能科技,杭州,40.72,2.19,51.880001068115234,24.55,20.0,70.0,75.0,60.0,60.0,100.0,python,机器学习;深度学习;数据挖掘;pandas,,"共同技能包括 python；缺少 机器学习, 深度学习, 数据挖掘, pandas，建议补充相关练习或项目经验；学历与岗位最低要求存在差距；经验年限略低于岗位要求；期望城市与岗位城市不一致；岗位偏好证书匹配不足；文本语义相似度偏低。"
R001,张同学,本科,数据科学与大数据技术,南昌,J008,NLP 算法实习生,京北 AI 实验室,北京,40.12,2.27,47.77000045776367,22.75,20.0,70.0,75.0,60.0,60.0,100.0,python,nlp;深度学习;pytorch;文本分类,,"共同技能包括 python；缺少 nlp, 深度学习, pytorch, 文本分类，建议补充相关练习或项目经验；学历与岗位最低要求存在差距；经验年限略低于岗位要求；期望城市与岗位城市不一致；岗位偏好证书匹配不足；文本语义相似度偏低。"
