resume_id,name,education,major,resume_city,job_id,job_title,company,job_city,total_score,tfidf_score,word2vec_score,semantic_score,skill_score,education_score,experience_score,city_score,certificate_score,salary_score,matched_skills,missing_skills,matched_certificates,reason
R001,张同学,本科,数据科学与大数据技术,南昌,J001,数据分析实习生,江西云数科技,南昌,91.49,57.95,99.33999633789062,76.58,100.0,100.0,100.0,100.0,100.0,100.0,python;sql;excel;数据分析;可视化,,英语四级,"共同技能包括 python, sql, excel, 数据分析, 可视化；岗位要求技能基本覆盖；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度较高。"
R005,陈同学,本科,信息管理与信息系统,南昌,J001,数据分析实习生,江西云数科技,南昌,77.21,42.5,99.43000030517578,68.12,60.0,100.0,100.0,100.0,100.0,100.0,sql;excel;数据分析,python;可视化,英语四级,"共同技能包括 sql, excel, 数据分析；缺少 python, 可视化，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R009,郑同学,本科,电子商务,南昌,J001,数据分析实习生,江西云数科技,南昌,73.55,25.62,97.5199966430664,57.97,60.0,100.0,100.0,100.0,100.0,100.0,sql;excel;数据分析,python;可视化,英语四级,"共同技能包括 sql, excel, 数据分析；缺少 python, 可视化，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J001,数据分析实习生,江西云数科技,南昌,71.31,16.45,87.45999908447266,48.4,80.0,100.0,100.0,60.0,100.0,50.0,python;sql;数据分析;可视化,excel,英语四级,"共同技能包括 python, sql, 数据分析, 可视化；缺少 excel，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R006,刘同学,本科,网络工程,广州,J001,数据分析实习生,江西云数科技,南昌,62.3,12.02,91.33000183105469,47.71,40.0,100.0,100.0,60.0,100.0,100.0,python;sql,excel;数据分析;可视化,英语四级,"共同技能包括 python, sql；缺少 excel, 数据分析, 可视化，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R007,周同学,本科,数据科学与大数据技术,杭州,J002,大数据开发实习生,华东智算中心,杭州,85.18,50.24,98.69000244140625,72.04,83.33,100.0,100.0,100.0,100.0,100.0,python;spark;hadoop;hive;sql,linux,英语四级,"共同技能包括 python, spark, hadoop, hive, sql；缺少 linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R002,王同学,本科,软件工程,南昌,J002,大数据开发实习生,华东智算中心,杭州,84.33,55.29,99.62000274658203,75.24,83.33,100.0,100.0,60.0,100.0,100.0,python;spark;hadoop;sql;linux,hive,英语四级,"共同技能包括 python, spark, hadoop, sql, linux；缺少 hive，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度较高。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J002,大数据开发实习生,华东智算中心,杭州,65.58,17.09,87.7699966430664,48.9,50.0,100.0,100.0,60.0,100.0,100.0,python;spark;sql,hadoop;hive;linux,英语四级,"共同技能包括 python, spark, sql；缺少 hadoop, hive, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R006,刘同学,本科,网络工程,广州,J002,大数据开发实习生,华东智算中心,杭州,65.06,10.42,93.18000030517578,47.66,50.0,100.0,100.0,60.0,100.0,100.0,python;sql;linux,spark;hadoop;hive,英语四级,"共同技能包括 python, sql, linux；缺少 spark, hadoop, hive，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R001,张同学,本科,数据科学与大数据技术,南昌,J002,大数据开发实习生,华东智算中心,杭州,60.4,11.96,91.16999816894531,47.6,33.33,100.0,100.0,60.0,100.0,100.0,python;sql,spark;hadoop;hive;linux,英语四级,"共同技能包括 python, sql；缺少 spark, hadoop, hive, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
